ID,Ten_do_vat,Nhiet_do,Do_am,trang_thai,Canh_bao_chay
1,May_say,169,26,Che_do_cho,Khong
2,May_say,152,38,Che_do_cho,Khong
3,Sac_dien_thoai,43,37,Dang_su_dung,Khong
4,May_say,130,19,Che_do_cho,Khong
5,May_say,89,48,Khong_su_dung,Khong
6,Sac_dien_thoai,47,76,Che_do_cho,Khong
7,May_say,91,20,Dang_su_dung,Khong
8,Sac_dien_thoai,62,55,Che_do_cho,Khong
9,Sac_dien_thoai,44,27,Dang_su_dung,Khong
10,Ban_la,73,75,Che_do_cho,Khong
11,Ban_la,74,38,Dang_su_dung,Khong
12,May_say,145,43,Khong_su_dung,Khong
13,Sac_dien_thoai,59,47,Dang_su_dung,Khong
14,May_say,115,23,Che_do_cho,Khong
15,Ban_la,86,13,Dang_su_dung,Khong
16,Sac_dien_thoai,63,46,Khong_su_dung,Khong
17,Ban_la,54,11,Khong_su_dung,Khong
18,Sac_dien_thoai,58,38,Che_do_cho,Khong
19,May_say,94,49,Khong_su_dung,Khong
20,Sac_dien_thoai,75,18,Che_do_cho,Khong
21,May_say,182,60,Che_do_cho,Co
22,Ban_la,124,44,Che_do_cho,Khong
23,Ban_la,196,33,Dang_su_dung,Co
24,Ban_la,113,44,Khong_su_dung,Khong
25,May_say,81,49,Khong_su_dung,Khong
26,Sac_dien_thoai,54,48,Khong_su_dung,Khong
27,Sac_dien_thoai,61,12,Che_do_cho,Khong
28,Ban_la,139,79,Dang_su_dung,Khong
29,Sac_dien_thoai,50,39,Khong_su_dung,Khong
30,Ban_la,63,73,Dang_su_dung,Khong
31,May_say,84,51,Che_do_cho,Khong
32,Sac_dien_thoai,43,74,Khong_su_dung,Khong
33,Ban_la,122,26,Khong_su_dung,Khong
34,May_say,144,27,Khong_su_dung,Khong
35,Ban_la,221,63,Khong_su_dung,Co
36,Ban_la,242,65,Dang_su_dung,Co
37,Ban_la,181,60,Che_do_cho,Co
38,Ban_la,192,69,Dang_su_dung,Co
39,Sac_dien_thoai,47,21,Dang_su_dung,Khong
40,Ban_la,172,74,Dang_su_dung,Khong
41,Sac_dien_thoai,56,25,Khong_su_dung,Khong
42,Sac_dien_thoai,69,13,Dang_su_dung,Khong
43,May_say,116,75,Che_do_cho,Khong
44,Ban_la,52,61,Dang_su_dung,Khong
45,Sac_dien_thoai,37,35,Dang_su_dung,Khong
46,Ban_la,84,48,Dang_su_dung,Khong
47,Ban_la,97,61,Che_do_cho,Khong
48,Sac_dien_thoai,60,51,Khong_su_dung,Khong
49,Sac_dien_thoai,41,70,Khong_su_dung,Khong
50,Sac_dien_thoai,68,45,Dang_su_dung,Khong
51,Ban_la,246,60,Che_do_cho,Co
52,Ban_la,203,67,Che_do_cho,Co
53,Sac_dien_thoai,33,41,Che_do_cho,Khong
54,Ban_la,233,44,Che_do_cho,Co
55,Sac_dien_thoai,27,66,Dang_su_dung,Khong
56,Ban_la,121,19,Dang_su_dung,Khong
57,May_say,67,11,Khong_su_dung,Khong
58,Ban_la,209,23,Che_do_cho,Co
59,Sac_dien_thoai,35,40,Dang_su_dung,Khong
60,May_say,156,45,Che_do_cho,Khong
61,Ban_la,210,47,Khong_su_dung,Co
62,May_say,164,58,Khong_su_dung,Khong
63,Ban_la,151,33,Che_do_cho,Khong
64,Ban_la,94,42,Khong_su_dung,Khong
65,Ban_la,147,37,Dang_su_dung,Khong
66,Sac_dien_thoai,91,74,Khong_su_dung,Khong
67,Sac_dien_thoai,70,69,Che_do_cho,Khong
68,May_say,117,19,Khong_su_dung,Khong
69,Ban_la,74,74,Dang_su_dung,Khong
70,Ban_la,172,36,Che_do_cho,Khong
71,May_say,56,59,Khong_su_dung,Khong
72,Ban_la,239,35,Che_do_cho,Co
73,Ban_la,222,47,Khong_su_dung,Co
74,Sac_dien_thoai,89,68,Khong_su_dung,Khong
75,Sac_dien_thoai,39,43,Khong_su_dung,Khong
76,Ban_la,223,11,Khong_su_dung,Co
77,Ban_la,141,59,Khong_su_dung,Khong
78,Sac_dien_thoai,93,72,Che_do_cho,Khong
79,Ban_la,233,11,Che_do_cho,Co
80,Sac_dien_thoai,46,26,Dang_su_dung,Khong
81,Sac_dien_thoai,77,47,Che_do_cho,Khong
82,Sac_dien_thoai,56,79,Khong_su_dung,Khong
83,Ban_la,210,41,Che_do_cho,Co
84,May_say,91,36,Che_do_cho,Khong
85,Sac_dien_thoai,68,60,Che_do_cho,Khong
86,Sac_dien_thoai,77,79,Khong_su_dung,Khong
87,May_say,77,14,Khong_su_dung,Khong
88,May_say,99,76,Khong_su_dung,Khong
89,Ban_la,104,11,Che_do_cho,Khong
90,Ban_la,239,24,Dang_su_dung,Co
91,May_say,108,74,Che_do_cho,Khong
92,May_say,113,19,Khong_su_dung,Khong
93,May_say,83,74,Dang_su_dung,Khong
94,Ban_la,185,42,Khong_su_dung,Co
95,Sac_dien_thoai,68,12,Dang_su_dung,Khong
96,Ban_la,216,74,Che_do_cho,Co
97,May_say,201,32,Che_do_cho,Co
98,Sac_dien_thoai,98,31,Che_do_cho,Khong
99,Sac_dien_thoai,50,10,Dang_su_dung,Khong
100,May_say,62,16,Che_do_cho,Khong
101,Sac_dien_thoai,39,45,Dang_su_dung,Khong
102,Ban_la,154,57,Che_do_cho,Khong
103,May_say,120,78,Che_do_cho,Khong
104,Ban_la,184,36,Khong_su_dung,Co
105,Sac_dien_thoai,69,12,Dang_su_dung,Khong
106,May_say,184,70,Che_do_cho,Co
107,Sac_dien_thoai,40,42,Che_do_cho,Khong
108,Sac_dien_thoai,40,54,Khong_su_dung,Khong
109,Ban_la,203,40,Dang_su_dung,Co
110,Sac_dien_thoai,48,69,Dang_su_dung,Khong
